rank,project,priority,source_level,source_name,query,search_url,purpose,checked,result_status,result_url,result_title,evidence_type,extracted_facts,next_action,notes,created_at,updated_at
1,DATA4 Cornaredo,P2,municipality,Comune Cornaredo,"""DATA4 Cornaredo"" ""Cornaredo"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22DATA4+Cornaredo%22+%22Cornaredo%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
2,DATA4 Cornaredo,P2,municipality,Comune Settimo Milanese,"""DATA4 Cornaredo"" ""Settimo Milanese"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22DATA4+Cornaredo%22+%22Settimo+Milanese%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
3,DATA4 Cornaredo,P2,municipality,Comune Cornaredo,"""DATA 4 MILAN"" ""Cornaredo"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22DATA+4+MILAN%22+%22Cornaredo%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
4,DATA4 Cornaredo,P2,municipality,Comune Settimo Milanese,"""DATA 4 MILAN"" ""Settimo Milanese"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22DATA+4+MILAN%22+%22Settimo+Milanese%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
5,DATA4 Cornaredo,P2,municipality,Comune Cornaredo,"""D4 Data Center MIL1"" ""Cornaredo"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22D4+Data+Center+MIL1%22+%22Cornaredo%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
6,DATA4 Cornaredo,P2,municipality,Comune Settimo Milanese,"""D4 Data Center MIL1"" ""Settimo Milanese"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22D4+Data+Center+MIL1%22+%22Settimo+Milanese%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
7,DATA4 Cornaredo,P2,municipality,Comune Cornaredo,"""DATA4 campus Cornaredo"" ""Cornaredo"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22DATA4+campus+Cornaredo%22+%22Cornaredo%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
8,DATA4 Cornaredo,P2,municipality,Comune Settimo Milanese,"""DATA4 campus Cornaredo"" ""Settimo Milanese"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22DATA4+campus+Cornaredo%22+%22Settimo+Milanese%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
9,DATA4 Cornaredo,P2,technical,Iter tecnico locale,"""DATA4 Cornaredo"" ""Cornaredo"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22DATA4+Cornaredo%22+%22Cornaredo%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
10,DATA4 Cornaredo,P2,technical,Iter tecnico locale,"""DATA4 Cornaredo"" ""Settimo Milanese"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22DATA4+Cornaredo%22+%22Settimo+Milanese%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
